"Sample","CTD.category","Cop.Corr.R1","Cop.Corr.R3","L1","L3","Krill.pos.R1","Krill.pos.R3","Sample.number","Bottle.number","Sampling.time.UTC","Date","Latitude","Longitude","Sampling.method","Sampling.type","Sampling.depth","CTD.depth","seawater.temperature","sea.ice","Filter.halved","Filtering.time.UTC","Storage.boxes","Collectors","Comments","Time.between.filtering.and.sampling","Time.between.decimal","Percent.of.5.Litres","CTD.number.x","pr","pr.2","class.strict","model.method","Euphausia.crystallorophias","Euphausia.frigida","Euphausia.superba","Thysanoessa.gregaria","Thysanoessa.macrura","Total","Sample.ID","CTD.number.y","lat_dec","long_dec","presence","count","count.class","depth","E.crystallorophias.presence","E.frigida.presence","E.superba.presence","T.gregaria.presence","T.macrura.presence","E.crystal.pres.prop","E.frig.pres.prop","E.super.pres.prop","T.greg.pres.prop","T.mac.pres.prop","krill.detection","E.crystal.read.prop","E.frig.read.prop","E.super.read.prop","T.greg.read.prop","T.mac.read.prop","Average.Cq","Diff.Cq","Dilution.factor","Meta.copies","Meta.E.sup.copies","Meta.E.cry.copies","Meta.E.fri.copies","Meta.T.gre.copies","Meta.T.mac.copies","Meta.Euphausiids.copies","Meta.E.sup.L1","Meta.E.cry.L1","Meta.E.fri.L1","Meta.T.gre.L1","Meta.T.mac.L1","Meta.Euphausiids.L1","eDNA_pres","metag_pres","sample_date","transect","water_depth","ntod.prev","curr_v","trawlno.tr","trawltype.tr","date.tr","net_open_date_utc_YYYYMMDD.tr","net_open_time_utc.tr","net_open_lat_deg.tr","net_open_lat_min.tr","net_open_lat_dec.tr","net_open_lon_deg.tr","net_open_lon_dec_min.tr","net_open_lon_dec.tr","X.tr","net_open_depth.tr","net_close_date_utc.tr","net_close_time_utc.tr","net_close_lat_deg.tr","net_close_lat_min.tr","net_close_lat_dec.tr","net_close_lon_deg.tr","net_close_lon_min.tr","net_close_lon_dec.tr","X.1.tr","net_close_depth.tr","flow_meter_start.tr","flow_meter_end.tr","bottom_depth.tr","ship_speed_knots.tr","ship_heading.tr","bio_tube_no.tr","igr_exp_no.tr","ecotox.tr","gravids.tr","SIA.tr","Swarm.Study.tr","notes.tr","Trawl.tr","Filtered.volume..m3..tr","E.superba.estimate.tr","Crystal..62.2..tr","Tmac..33.7..tr","Triacantha..assume.62.2..tr","longitude.tr","latitude.tr","open_date_time.tr","close_date_time.tr","date_time.tr","transect.tr","Date.tr","Latitude.tr","Longitude.tr","Depth.tr","E.superba.tr","E.superba.gravid.tr","E.superba.juvenile.tr","E.superba.calyptopsis.I.tr","E.superba.furcilia.II.tr","E.superba.furcilia.II.1.tr","E.superba.late.stage.furcilia.tr","E.superba.total.tr","T.macrura.tr","T.macrura.calyptopsis.I.tr","T.macrura.calypopsis.II.tr","T.macrura.calyptopsis.III.tr","T.macrura.late.furcilia.tr","T.macrura.furcilia.I.tr","T.macrura.furcilia.II.tr","T.macrura.furcilia.III.tr","T.macrura.furcilia.IV.tr","T.macrura.furcilia.V.tr","T.macrura.furcilia.VI.tr","T.macrura.juvenile.tr","T.macrura.total.tr","Euphausiid.calyptopsis.tr","Euphausiid.calyptopsis.I.tr","Euphausiid.calyptopsis.II.tr","Euphausiid.furcilia.tr","Euphausiid.furcilia.I.tr","Euphausiid.juvenile.tr","Euphausiid.total.tr","distance.tr","Sampling.type.tr"
"058A","13 bottom",169.238473503612,61.0633382924135,5.13130880609724,4.11191165814133,"Yes","Yes",58,"1","20:10","18/02/2021",-64.49935,59.99935,"CTD","CTD 13","4300","bottom",-0.38,"No","AB","10:29","1A+1B","Mad/Jess/Liv","","14:19",14.32,1,13,0.0311329388461676,0.0311329388461676,"recent","model",0,0,125313,0,0,125314,"X058A",13,64.53888889,60.05916667,"n","0",0,"bottom",0,0,TRUE,0,0,0,0,1,0,0,1,0,0,1,0,0,38.46261813,1.377271936,1,169.239824029683,169.238473503612,0,0,0,0,169.238473503612,5.13130880609724,NA,NA,NA,NA,5.13130880609724,"eDNA present","metagenomics E.superba present",2021-02-18 20:10:00,2,4224,1.96907337329627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"059A","13 top",2701.69257445019,338.162968746007,7.90163373501159,5.82352793533641,"Yes","Yes",59,"6","21:59","18/02/2021",-64.49935,59.99935,"CTD","CTD 13","5","top",0.31,"No","AB","10:29","1A+1B","Mad/Jess/Liv","","12:30",12.5,1,13,0.766556085937809,0.766556085937809,"undetermined","model",0,0,51271,0,5381,56660,"X059A",13,64.53888889,60.05916667,"n","0",0,"top",0,0,TRUE,0,1,0,0,0.5,0,0.5,1,0,0,0.905016592529831,0,0.0949834074701687,25.62456239,15.39919618,0.083333333,14947483.1291279,13525810.2279124,0,0,0,1419562.42001125,14945372.6479237,16.420110286848,NA,NA,NA,14.1658592271663,16.5199122880112,"eDNA present","metagenomics E.superba present",2021-02-18 21:59:00,2,4224,0.0896319614212517,NA,"R10","routine","18/02/2021",20210218,"22:30:32",-64,29.82,-64.497,60,0.22,60.00366667,"E","215",20210218,"22:48:09",-64,29.31,-64.4885,60,0.44,60.00733333,"E","31",430290,472136,"4240",2,"354","","","","","ü","","","R10",9127.44952,306.767,0,0,0,60.0055,-64.49275,1613687432,1613688489,2021-02-19 09:39:20,2,"2/18/2021",-64.497,60.00366667,"4240",0,0,0,0,0,0,0,0,0,0,55.91815245,0,0,55.91815245,83.87722867,0,0,0,0,0,195.7135336,0,27.95907622,0,0,0,0,27.95907622,0.333149809641187,"CTD 13"
"061A","14 bottom",575.46055852748,106.107202473769,6.35517069154312,4.66444992714034,"Yes","Yes",61,"8","6:36","19/02/2021",-64.99938,60.01367,"CTD","CTD 14","4120","bottom",-0.36,"No","AB","16:44","1A+1B","Liv","","10:08",10.13,1,14,0.267735334101477,0.267735334101477,"undetermined","model",0,0,128238,0,0,128238,"X061A",14,65.01166667,60.21333333,"n","0",0,"bottom",0,0,TRUE,0,0,0,0,1,0,0,1,0,0,1,0,0,39.89290491,2.729703891,1,62.7614970130663,62.7614970130663,0,0,0,0,62.7614970130663,4.13934178056102,NA,NA,NA,NA,4.13934178056102,"eDNA present","metagenomics E.superba present",2021-02-19 06:36:00,2,4065,0.856208802891771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"062A","14 top",861.312214524375,207.76439095018,6.75845705719274,5.33640470185478,"Yes","Yes",62,"7","8:51","19/02/2021",-65.00067,60.01283,"CTD","CTD 14","5","top",0.06,"No","AB","16:44","1A+1B","Liv","","7:53",7.88,1,14,0.100813868499205,0.100813868499205,"undetermined","model",0,0,0,0,5498,5498,"X062A",14,65.01166667,60.21333333,"n","0",0,"top",0,0,FALSE,0,1,0,0,0,0,1,1,0,0,0,0,1,40.19413295,6.024859015,0.1,509.28625663141,0,0,0,0,509.28625663141,509.28625663141,NA,NA,NA,NA,6.23301024870693,6.23301024870693,"eDNA present","metagenomics E.superba absent",2021-02-19 08:51:00,2,4062,0.983786944503508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"063A","15 bottom",88.5213161643247,71.0201027655467,4.48324338362546,4.26296297450836,"Yes","Yes",63,"2","15:07","19/02/2021",-65.51035,59.98467,"CTD","CTD 15","3870","bottom",-0.31,"No","AB","2:30","1A+1B","Mad","","11:23",11.38,1,15,0.0168961087766801,0.0168961087766801,"recent","model",0,0,79924,0,0,79924,"X063A",15,65.6725,60.06111111,"n","0",0,"bottom",0,0,TRUE,0,0,0,0,1,0,0,1,0,0,1,0,0,42.21976941,0.995180194,1,12.4977114340831,12.4977114340831,0,0,0,0,12.4977114340831,2.52554554227275,NA,NA,NA,NA,2.52554554227275,"eDNA present","metagenomics E.superba present",2021-02-19 15:07:00,2,3848,1.42764038610583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"064A","15 top",1182.52190262599,315.204249649854,7.07540464249983,5.75322084028451,"Yes","Yes",64,"3","17:04","19/02/2021",-65.52035,59.97708,"CTD","CTD 15","10","top",-0.86,"No","AB","2:30","1A+1B","Mad","Bottle got switched so corrected","9:26",9.43,1,15,0.071988053657919,0.071988053657919,"recent","model",0,0,51515,0,0,51516,"X064A",15,65.6725,60.06111111,"n","0",0,"top",0,0,TRUE,0,0,0,0,1,0,0,1,0,0,1,0,0,40.55487612,0,0.166666667,237.933517387342,237.928898753959,0,0,0,0,237.928898753959,5.47197188430711,NA,NA,NA,NA,5.47197188430711,"eDNA present","metagenomics E.superba present",2021-02-19 17:04:00,2,3842,1.60418636056718,NA,"R11","routine","19/02/2021",20210219,"17:38:40",-65,31.75,-65.52916667,60,0.24,60.004,"E","250",20210219,"17:55:38",-65,32.07,-65.5345,60,1.58,60.02633333,"E","60",490197,544366,"3806",2,"115","","","","","ü","","No depth beacon - battery dead. RMT1 flipped over bar","R11",11815.34228,50.78143,0,0.169271,0,60.015166665,-65.531833335,1613756320,1613757338,2021-02-20 04:47:09,2,"2/19/2021",-65.52916667,60.004,"3806",2.69982717,0,0,0,0,0,0,2.69982717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.049740755,4.049740755,1.58085684532444,"CTD 15"
"065A","16 top",66.382055530297,NA,4.19542677192111,NA,"Yes","No",65,"7","2:10","20/02/2021",-65.94447,59.98118,"CTD","CTD 16","5","top",-1.34,"No","AB","9:50","1A+1B","Jed/Dez","","7:40",7.67,1,16,NA,1,"old","manual",0,0,49945,0,39400,89361,"X065A",16,66.11888889,60.20861111,"y","10-100",100,"top",0,0,TRUE,0,1,0,0,0.5,0,0.5,1,0,0,0.559012815490514,0,0.440987184509486,41.33745617,1.465562187,1,23.0455720452786,12.8804634661815,0,0,0,10.160982291872,23.0414457580535,2.555711703428,NA,NA,NA,2.31855511974778,3.13729458377451,"eDNA present","metagenomics E.superba present",2021-02-20 02:10:00,2,3000,0.602285572982902,NA,"R12","routine","20/02/2021",20210220,"3:19:24",-65,56.88,-65.948,60,1.4,60.02333333,"E","200",20210221,"3:43:15",-65,57.14,-65.95233333,60,3.49,60.05816667,"E","60",544366,605586,"2978",2,"111","","","","","","","Weak open signal and net didn't fly, sent again with stronger signal and flew","R12",13353.3064,8.986538,0,0,0,60.04075,-65.950166665,1613791164,1613878995,2021-02-21 02:31:19,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.95039663517599,"CTD 16"
"066A","16 bottom",452.533435224131,92.528960114504,6.11486165040833,4.5275216778373,"Yes","Yes",66,"8","0:45","20/02/2021",-65.93992,59.97225,"CTD","CTD 16","3050","bottom",-0.27,"No","AB","9:50","1A+1B","Jed/Dez","Half filter paper dropped. Good half cut in two.","9:05",9.08,1,16,0.183324334560917,0.183324334560917,"undetermined","model",0,0,40245,0,0,40245,"X066A",16,66.11888889,60.20861111,"y","<10",10,"bottom",0,0,TRUE,0,0,0,0,1,0,0,1,0,0,1,0,0,38.26083191,0,0.283333333,687.042932629272,687.042932629272,0,0,0,0,687.042932629272,6.5323967831799,NA,NA,NA,NA,6.5323967831799,"eDNA present","metagenomics E.superba present",2021-02-20 00:45:00,2,3004,0.452563198710847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"067A","17 bottom",NA,NA,NA,NA,"No","No",67,"6","9:38","20/02/2021",-66.24997,60.24897,"CTD","CTD 17","2790","bottom",-0.25,"No","AB","0:50","1A+1B","Derek","","15:12",15.2,1,17,NA,NA,"eDNA no krill",NA,NA,NA,NA,NA,NA,NA,NA,17,66.50888889,60.49833333,"n","0",0,"bottom",0,0,FALSE,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,1,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"eDNA absent","metagenomics E.superba absent",2021-02-20 09:38:00,2,2571,1.04834054834055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"068A","17 top",568.965886595035,265.484672387355,6.34382047906902,5.58155710789441,"Yes","Yes",68,"3","11:11","20/02/2021",-66.25182,60.2457,"CTD","CTD 17","5","top",-1.59,"No","AB","0:50","1A+1B","Derek","","13:39",13.65,1,17,0.0196794676344588,0.0196794676344588,"recent","model",0,0,45668,0,0,45669,"X068A",17,66.50888889,60.49833333,"n","0",0,"top",0,0,TRUE,0,0,0,0,1,0,0,1,0,0,1,0,0,38.3446837,3.961431334,0.116666667,1574.26627898103,1574.23180775812,0,0,0,0,1574.23180775812,7.3615226911694,NA,NA,NA,NA,7.3615226911694,"eDNA present","metagenomics E.superba present",2021-02-20 11:11:00,2,2586,1.1750312351523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"069A","18 bottom",69.248926535952,69.248926535952,4.23770764366141,4.23770764366141,"No","Yes",69,"2","13:52","20/02/2021",-66.40013,60.2512,"CTD","CTD 18","2265","bottom",-0.23,"No","AB","15:50","1A+1B","Derek","","1:58",1.97,1,18,NA,0.5,"undetermined","manual",NA,NA,NA,NA,NA,NA,NA,18,66.40222222,60.27,"n","0",0,"bottom",0,0,FALSE,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,1,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"eDNA present","metagenomics E.superba absent",2021-02-20 13:52:00,2,2134,1.30119794136762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"071A","18 top",NA,NA,NA,NA,"No","No",71,"1","15:32","20/02/2021",-66.40185,60.249,"CTD","CTD 18","5","top",-1.66,"No","AB","15:50","1A+1B","Derek","","0:18",0.3,1,18,NA,NA,"eDNA no krill",NA,0,0,0,0,0,53146,"X071A",18,66.40222222,60.27,"n","0",0,"top",0,0,FALSE,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,37.01470606,0,0.15,3079.84882372279,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"eDNA absent","metagenomics E.superba absent",2021-02-20 15:32:00,2,2134,1.42765053045739,NA,"R13","routine","20/02/2021",20210220,"16:00:49",-66,24.44,-66.40733333,60,16.4,60.27333333,"E","211",20210220,"16:21:09",-66,24.87,-66.4145,60,18.19,60.30316667,"E","30",622339,685849,"2302",1.85,"118","","","","","ü","","","R13",13852.8012,0,174.0858,0,0,60.28825,-66.410916665,1613836849,1613838069,2021-02-21 03:10:59,2,"2/20/2021",-66.40733333,60.27333333,"2302",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.302738749,0,0,0,0,0,2.302738749,1.24287698567559,"CTD 18"
"072A","19 top",278.90100019573,158.953294524599,5.63085688084333,5.06861041394037,"Yes","Yes",72,"4","20:28","20/02/2021",-66.55722,60.24808,"CTD","CTD 19","5","top",-1.63,"No","AB","0:40","1A+1B","Derek","Training Soph and Andreas","4:12",4.2,1,19,0.0163395065216819,0.0163395065216819,"recent","model",0,0,123887,0,0,123887,"X072A",19,66.67027778,60.47916667,"y","10-100",100,"top",0,0,TRUE,0,0,0,0,1,0,0,1,0,0,1,0,0,38.78857683,0,0.183333333,736.344080372371,736.344080372371,0,0,0,0,736.344080372371,6.6016975099905,NA,NA,NA,NA,6.6016975099905,"eDNA present","metagenomics E.superba present",2021-02-20 20:28:00,2,1358,1.9709448872539,NA,"R14","routine","20/02/2021",20210220,"21:07:43",-66,33.29,-66.55483333,60,13.44,60.224,"E","220",20210220,"21:23:06",-66,33.24,-66.554,60,12.63,60.2105,"E","60",685849,715670,"1618",1.5,"270","","","","","ü","","","R14",6504.55652,0,741.5035,0,0,60.21725,-66.554416665,1613855263,1613856186,2021-02-21 08:15:24,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.09783945618258,"CTD 19"
"073A","19 bottom",87.956744626451,87.956744626451,4.47684515529785,4.47684515529785,"No","Yes",73,"11","19:33","20/02/2021",-66.55692,60.2459,"CTD","CTD 19","1600","bottom",0.0106,"No","AB","0:40","1A+1B","Derek","","5:07",5.12,1,19,NA,0.5,"undetermined","manual",0,0,34,0,3,37,"X073A",19,66.67027778,60.47916667,"n","0",0,"bottom",0,0,FALSE,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,41.68974966,0,1,18.0499081312904,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"eDNA present","metagenomics E.superba absent",2021-02-20 19:33:00,2,1358,1.84829853186634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"074A","20 bottom",20.4785397573732,20.4785397573732,3.01937749671976,3.01937749671976,"No","Yes",74,"8","10:44","21/02/2021",-66.56573,62.06278,"CTD","CTD 20","850","bottom",0.1108,"No","AB","2:10","1A+1B","Andreas","First eDNA run","15:26",15.43,1,20,NA,0.5,"undetermined","manual",0,0,67291,0,0,67291,"X074A",20,66.81222222,62.26305556,"y","<10",10,"bottom",0,0,TRUE,0,0,0,0,1,0,0,1,0,0,1,0,0,40.78347353,0,1,33.841510066553,33.841510066553,0,0,0,0,33.841510066553,3.52168815745852,NA,NA,NA,NA,3.52168815745852,"eDNA present","metagenomics E.superba present",2021-02-21 10:44:00,NA,1039,1.11998939554613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"075A","20 top",135.87677002144,NA,4.91174837219325,NA,"Yes","No",75,"7","11:12","21/02/2021",-66.56572,62.06277,"CTD","CTD 20","5","top",-1.5845,"No","AB","2:10","1A+1B","Andreas","","14:58",14.97,1,20,NA,1,"old","manual",NA,NA,NA,NA,NA,NA,NA,20,66.81222222,62.26305556,"n","0",0,"top",0,0,FALSE,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,0.233333333,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"eDNA present","metagenomics E.superba absent",2021-02-21 11:12:00,NA,1039,1.18361611876988,NA,"T04","target","21/02/2021",20210221,"6:55:05",-66,35.02,-66.58366667,62,5.44,62.09066667,"E","60",20210221,"7:02:35",-66,35.14,-66.58566667,62,4.71,62.0785,"E","30",741974,761434,"773",2,"268-249","101-200","2","012-016","","","","In pancake ice/ice edge, 11L e.superba","T4",4244.6152,5265.495,0,0,0,62.084583335,-66.58466667,1613890505,1613890955,2021-02-21 17:58:50,NA,"2/21/2021",-66.58366667,62.09066667,"773",45.09155333,0,0,0,0,0,0,45.09155333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.34587447312627,"CTD 20"
"076A","21 bottom",64.5434528152469,NA,4.16733868403456,NA,"Yes","No",76,"6","14:46","21/02/2021",-66.52453,62.44553,"CTD","CTD 21","1471","bottom",-0.0359,"No","AB","4:45","1A+1B","AK/SB","","13:59",13.98,1,21,NA,1,"old","manual",NA,NA,NA,NA,NA,NA,NA,21,66.64777778,62.63666667,"n","0",0,"bottom",0,0,FALSE,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,1,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"eDNA present","metagenomics E.superba absent",2021-02-21 14:46:00,NA,1659,1.37630853020229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"077A","21 top",433.185707514782,164.644593430836,6.07116652177273,5.1037891715437,"Yes","Yes",77,"3","15:25","21/02/2021",-66.52372,62.44542,"CTD","CTD 21","8","top",-1.5031,"No","AB","4:45","1A+1B","AK/SB","","13:20",13.33,1,21,0.0278240324915389,0.0278240324915389,"recent","model",0,0,122424,0,0,123618,"X077A",21,66.64777778,62.63666667,"y","10-100",100,"top",0,0,TRUE,0,0,0,0,1,0,0,1,0,0,1,0,0,39.88896426,8.675808198,0.183333333,343.272333905352,339.956739358579,0,0,0,0,339.956739358579,5.82881837233422,NA,NA,NA,NA,5.82881837233422,"eDNA present","metagenomics E.superba present",2021-02-21 15:25:00,NA,1659,1.43996569468268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"078A","22 bottom",165.633312025102,51.1810757611074,5.10977638129316,3.93536984968049,"Yes","Yes",78,"2","12:54","23/02/2021",-66.55385,65.01467,"CTD","CTD 22","2290","bottom",-0.376,"No","AB","17:47","1A+1B","Maddie","ice edge","4:53",4.88,1,22,0.0460489594504435,0.0460489594504435,"recent","model",0,0,62425,0,0,62426,"X078A",22,66.61416667,65.24444444,"n","0",0,"bottom",0,0,TRUE,0,0,0,0,1,0,0,1,0,0,1,0,0,40.68560263,2.746578054,1,36.2183716201932,36.2177914393131,0,0,0,0,36.2177914393131,3.58955047432096,NA,NA,NA,NA,3.58955047432096,"eDNA present","metagenomics E.superba present",2021-02-23 12:54:00,NA,2342,1.26442782940024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"079A","22 top",184.138146128267,146.429872131965,5.2156862700794,4.98654662533019,"Yes","Yes",79,"7","14:24","23/02/2021",-66.55453,65.0077,"CTD","CTD 22","5","top",-1.5214,"No","AB","17:47","1A+1B","Maddie","ice edge","3:23",3.38,1,22,0.016787148577435,0.016787148577435,"recent","model",0,0,112241,0,0,112241,"X079A",22,66.61416667,65.24444444,"y","10-100",100,"top",0,0,TRUE,0,0,0,0,1,0,0,1,0,0,1,0,0,37.41266468,5.05412714,0.166666667,2103.31758962733,2103.31758962733,0,0,0,0,2103.31758962733,7.65127118171742,NA,NA,NA,NA,7.65127118171742,"eDNA present","metagenomics E.superba present",2021-02-23 14:24:00,NA,2353,1.39379751613077,NA,"R15","routine","23/02/2021",20210223,"14:59",-66,32.3,-66.53833333,65,0.03,65.0005,"E","200",20210223,"15:13",-66,31.75,-66.52916667,65,0.21,65.0035,"E","40",761487,805323,"2278",2.34,"18.51","","","","","","","","R15",9561.50832,0.104586,0,0,0,65.002,-66.53375,1614092340,1614093180,2021-02-24 02:06:00,NA,"2/23/2021",-66.53833333,65.0005,"2278",0,0,0,0,0,0,0,0,3.33622908,20.01737448,0,0,0,3.33622908,0,0,0,0,0,0,26.68983264,0,0,0,0,0,0,0,1.82896175167717,"CTD 22"
