Well,Omit,Sample,Target,Task,Dyes,Cq,Cq Conf,Amp Score,Amp Status,Annotated,Baseline Start,Baseline End,Curve Quality,Result Quality Issues,Plate,Mean Cq,Max diff Cq,Krill positive,Comment,Exclude
K11,TRUE,110A,F3R1,Unknown,FAM-NFQ-MGB,Undetermined,0,,No Amp,FALSE,3,44,,,2,,,,,
K12,TRUE,110A,F3R1,Unknown,FAM-NFQ-MGB,Undetermined,0,,No Amp,FALSE,3,44,,,2,,,,,
K22,TRUE,110A,F3R3,Unknown,FAM-NFQ-MGB,Undetermined,0,,No Amp,FALSE,3,44,,,2,NA,0,No,,
K23,TRUE,110A,F3R3,Unknown,FAM-NFQ-MGB,Undetermined,0,,No Amp,FALSE,3,44,,,2,,,,,
K24,TRUE,110A,F3R3,Unknown,FAM-NFQ-MGB,4.946516963,0.936429394,2.069520124,Inconclusive,FALSE,3,3,,,2,,,,,
L1,TRUE,120A,F3R1,Unknown,FAM-NFQ-MGB,Undetermined,0,,No Amp,FALSE,3,39,,,3,NA,0,No,,
L2,TRUE,120A,F3R1,Unknown,FAM-NFQ-MGB,Undetermined,0,,No Amp,FALSE,3,39,,,3,,,,,
L3,TRUE,120A,F3R1,Unknown,FAM-NFQ-MGB,Undetermined,0,,No Amp,FALSE,3,39,,,3,,,,,
L13,TRUE,120A,F3R3,Unknown,FAM-NFQ-MGB,Undetermined,0,,No Amp,FALSE,3,39,,,3,NA,0,No,,
L14,TRUE,120A,F3R3,Unknown,FAM-NFQ-MGB,Undetermined,0,,No Amp,FALSE,3,39,,,3,,,,,
L15,TRUE,120A,F3R3,Unknown,FAM-NFQ-MGB,Undetermined,0,,No Amp,FALSE,3,39,,,3,,,,,
M1,TRUE,130A,F3R1,Unknown,FAM-NFQ-MGB,Undetermined,0,,No Amp,FALSE,3,39,,,3,NA,0,No,,
M2,TRUE,130A,F3R1,Unknown,FAM-NFQ-MGB,Undetermined,0,,No Amp,FALSE,3,39,,,3,,,,,
M3,TRUE,130A,F3R1,Unknown,FAM-NFQ-MGB,Undetermined,0,,No Amp,FALSE,3,39,,,3,,,,,
M13,TRUE,130A,F3R3,Unknown,FAM-NFQ-MGB,Undetermined,0,,No Amp,FALSE,3,39,,,3,NA,0,No,,
M14,TRUE,130A,F3R3,Unknown,FAM-NFQ-MGB,Undetermined,0,1.559211164,No Amp,FALSE,3,39,,,3,,,,,
M15,TRUE,130A,F3R3,Unknown,FAM-NFQ-MGB,Undetermined,0,1.528761735,No Amp,FALSE,3,39,,,3,,,,,
K1,TRUE,140A,F3R1,Unknown,FAM-NFQ-MGB,Undetermined,0,1.559772276,No Amp,FALSE,3,44,,,2,NA,0,No,,
K2,TRUE,140A,F3R1,Unknown,FAM-NFQ-MGB,Undetermined,0,1.234600247,No Amp,FALSE,3,44,,,2,,,,,
K3,TRUE,140A,F3R1,Unknown,FAM-NFQ-MGB,Undetermined,0,,No Amp,FALSE,3,44,,,2,,,,,
K13,TRUE,140A,F3R3,Unknown,FAM-NFQ-MGB,Undetermined,0,,No Amp,FALSE,3,44,,,2,NA,0,No,,
K14,TRUE,140A,F3R3,Unknown,FAM-NFQ-MGB,Undetermined,0,,No Amp,FALSE,3,44,,,2,,,,,
K15,TRUE,140A,F3R3,Unknown,FAM-NFQ-MGB,Undetermined,0,1.224913898,No Amp,FALSE,3,44,,,2,,,,,
D7,TRUE,170A,F3R1,Unknown,FAM-NFQ-MGB,Undetermined,0,,No Amp,FALSE,3,39,,,3,NA,0,No,,
D8,TRUE,170A,F3R1,Unknown,FAM-NFQ-MGB,Undetermined,0,,No Amp,FALSE,3,39,,,3,,,,,
D9,TRUE,170A,F3R1,Unknown,FAM-NFQ-MGB,Undetermined,0,,No Amp,FALSE,3,15,,,3,,,,,
D19,TRUE,170A,F3R3,Unknown,FAM-NFQ-MGB,Undetermined,0,,No Amp,FALSE,3,39,,,3,NA,0,No,,
D20,TRUE,170A,F3R3,Unknown,FAM-NFQ-MGB,Undetermined,0,,No Amp,FALSE,3,39,,,3,,,,,
D21,TRUE,170A,F3R3,Unknown,FAM-NFQ-MGB,Undetermined,0,2.226350631,Inconclusive,FALSE,3,3,,,3,,,,,
D10,TRUE,EC1,F3R1,Unknown,FAM-NFQ-MGB,Undetermined,0,1.348764508,No Amp,FALSE,3,44,,,2,NA,0,No,,
D11,TRUE,EC1,F3R1,Unknown,FAM-NFQ-MGB,Undetermined,0,1.649069903,No Amp,FALSE,3,44,,,2,,,,,
D12,TRUE,EC1,F3R1,Unknown,FAM-NFQ-MGB,Undetermined,0,1.490042539,No Amp,FALSE,3,44,,,2,,,,,
D22,TRUE,EC1,F3R3,Unknown,FAM-NFQ-MGB,Undetermined,0,,No Amp,FALSE,3,44,,,2,NA,0,No,,
D23,TRUE,EC1,F3R3,Unknown,FAM-NFQ-MGB,Undetermined,0,,No Amp,FALSE,3,44,,,2,,,,,
D24,TRUE,EC1,F3R3,Unknown,FAM-NFQ-MGB,Undetermined,0,,No Amp,FALSE,3,44,,,2,,,,,
M4,TRUE,EC2,F3R1,Unknown,FAM-NFQ-MGB,Undetermined,0,,No Amp,FALSE,3,44,,,1,NA,0,No,,
M5,TRUE,EC2,F3R1,Unknown,FAM-NFQ-MGB,Undetermined,0,1.649216723,No Amp,FALSE,3,44,,,1,,,,,
M6,TRUE,EC2,F3R1,Unknown,FAM-NFQ-MGB,Undetermined,0,,No Amp,FALSE,3,44,,,1,,,,,
M16,TRUE,EC2,F3R3,Unknown,FAM-NFQ-MGB,Undetermined,0,,No Amp,FALSE,3,44,,,1,NA,0,No,,
M17,TRUE,EC2,F3R3,Unknown,FAM-NFQ-MGB,Undetermined,0,,No Amp,FALSE,3,44,,,1,,,,,
M18,TRUE,EC2,F3R3,Unknown,FAM-NFQ-MGB,Undetermined,0,1.333781194,No Amp,FALSE,3,44,,,1,,,,,
K10,TRUE,EC3,F3R1,Unknown,FAM-NFQ-MGB,Undetermined,0,,No Amp,FALSE,3,44,,,1,NA,0,No,,
K11,TRUE,EC3,F3R1,Unknown,FAM-NFQ-MGB,Undetermined,0,,No Amp,FALSE,3,44,,,1,,,,,
K12,TRUE,EC3,F3R1,Unknown,FAM-NFQ-MGB,Undetermined,0,,No Amp,FALSE,3,44,,,1,,,,,
K22,TRUE,EC3,F3R3,Unknown,FAM-NFQ-MGB,Undetermined,0,,No Amp,FALSE,3,44,,,1,NA,0,No,,
K23,TRUE,EC3,F3R3,Unknown,FAM-NFQ-MGB,9.996668742,0.92316482,,Inconclusive,FALSE,3,4,,,1,,,,,
K24,TRUE,EC3,F3R3,Unknown,FAM-NFQ-MGB,Undetermined,0,1.342629383,No Amp,FALSE,3,44,,,1,,,,,
P1,TRUE,EC4,F3R1,Unknown,FAM-NFQ-MGB,Undetermined,0,,No Amp,FALSE,3,44,,,2,NA,0,No,,
P2,TRUE,EC4,F3R1,Unknown,FAM-NFQ-MGB,Undetermined,0,,No Amp,FALSE,3,44,,,2,,,,,
P3,TRUE,EC4,F3R1,Unknown,FAM-NFQ-MGB,Undetermined,0,,No Amp,FALSE,3,44,,,2,,,,,
P13,TRUE,EC4,F3R3,Unknown,FAM-NFQ-MGB,Undetermined,0,,No Amp,FALSE,3,44,,,2,NA,0,No,,
P14,TRUE,EC4,F3R3,Unknown,FAM-NFQ-MGB,Undetermined,0,,No Amp,FALSE,3,44,,,2,,,,,
P15,TRUE,EC4,F3R3,Unknown,FAM-NFQ-MGB,Undetermined,0,,No Amp,FALSE,3,44,,,2,,,,,
D7,TRUE,EC5,F3R1,Unknown,FAM-NFQ-MGB,Undetermined,0,,No Amp,FALSE,3,29,,,4,NA,0,No,,
D8,TRUE,EC5,F3R1,Unknown,FAM-NFQ-MGB,Undetermined,0,,No Amp,FALSE,3,39,,,4,,,,,
D9,TRUE,EC5,F3R1,Unknown,FAM-NFQ-MGB,Undetermined,0,,No Amp,FALSE,3,39,,,4,,,,,
D19,TRUE,EC5,F3R3,Unknown,FAM-NFQ-MGB,Undetermined,0,,No Amp,FALSE,3,39,,,4,NA,0,No,,
D20,TRUE,EC5,F3R3,Unknown,FAM-NFQ-MGB,Undetermined,0,1.520350606,No Amp,FALSE,3,39,,,4,,,,,
D21,TRUE,EC5,F3R3,Unknown,FAM-NFQ-MGB,6.839153458,0.94453157,2.066762656,Inconclusive,FALSE,3,3,,,4,,,,,
C4,TRUE,EC6,F3R1,Unknown,FAM-NFQ-MGB,Undetermined,0,,No Amp,FALSE,3,39,,,3,NA,0,No,,
C5,TRUE,EC6,F3R1,Unknown,FAM-NFQ-MGB,Undetermined,0,,No Amp,FALSE,3,11,,,3,,,,,
C6,TRUE,EC6,F3R1,Unknown,FAM-NFQ-MGB,Undetermined,0,1.355867376,No Amp,FALSE,3,39,,,3,,,,,
C16,TRUE,EC6,F3R3,Unknown,FAM-NFQ-MGB,Undetermined,0,,No Amp,FALSE,3,39,,,3,NA,0,No,,
C17,TRUE,EC6,F3R3,Unknown,FAM-NFQ-MGB,Undetermined,0,,No Amp,FALSE,3,39,,,3,,,,,
C18,TRUE,EC6,F3R3,Unknown,FAM-NFQ-MGB,Undetermined,0,,No Amp,FALSE,3,39,,,3,,,,,
G10,TRUE,EC7,F3R1,Unknown,FAM-NFQ-MGB,Undetermined,0,1.576585759,No Amp,FALSE,3,39,,,3,NA,0,No,,
G11,TRUE,EC7,F3R1,Unknown,FAM-NFQ-MGB,Undetermined,0,,No Amp,FALSE,3,39,,,3,,,,,
G12,TRUE,EC7,F3R1,Unknown,FAM-NFQ-MGB,Undetermined,0,,No Amp,FALSE,3,39,,,3,,,,,
G22,TRUE,EC7,F3R3,Unknown,FAM-NFQ-MGB,Undetermined,0,,No Amp,FALSE,3,39,,,3,NA,0,No,,
G23,TRUE,EC7,F3R3,Unknown,FAM-NFQ-MGB,Undetermined,0,1.58665347,No Amp,FALSE,3,39,,,3,,,,,
G24,TRUE,EC7,F3R3,Unknown,FAM-NFQ-MGB,Undetermined,0,,No Amp,FALSE,3,39,,,3,,,,,
E7,TRUE,EC8,F3R1,Unknown,FAM-NFQ-MGB,Undetermined,0,,No Amp,FALSE,3,39,,,4,NA,0,No,,
E8,TRUE,EC8,F3R1,Unknown,FAM-NFQ-MGB,Undetermined,0,,No Amp,FALSE,3,39,,,4,,,,,
E9,TRUE,EC8,F3R1,Unknown,FAM-NFQ-MGB,Undetermined,0,,No Amp,FALSE,3,39,,,4,,,,,
E19,TRUE,EC8,F3R3,Unknown,FAM-NFQ-MGB,Undetermined,0,,No Amp,FALSE,3,39,,,4,NA,0,No,,
E20,TRUE,EC8,F3R3,Unknown,FAM-NFQ-MGB,Undetermined,0,,No Amp,FALSE,3,39,,,4,,,,,
E21,TRUE,EC8,F3R3,Unknown,FAM-NFQ-MGB,Undetermined,0,,No Amp,FALSE,3,39,,,4,,,,,
H1,TRUE,EC9,F3R1,Unknown,FAM-NFQ-MGB,Undetermined,0,1.506729682,No Amp,FALSE,3,39,,,4,NA,0,No,,
H2,TRUE,EC9,F3R1,Unknown,FAM-NFQ-MGB,Undetermined,0,0.071605016,No Amp,FALSE,3,39,,,4,,,,,
H3,TRUE,EC9,F3R1,Unknown,FAM-NFQ-MGB,Undetermined,0,1.241459113,No Amp,FALSE,3,39,,,4,,,,,
H13,TRUE,EC9,F3R3,Unknown,FAM-NFQ-MGB,Undetermined,0,,No Amp,FALSE,3,39,,,4,NA,0,No,,
H14,TRUE,EC9,F3R3,Unknown,FAM-NFQ-MGB,Undetermined,0,1.471820669,No Amp,FALSE,3,39,,,4,,,,,
H15,TRUE,EC9,F3R3,Unknown,FAM-NFQ-MGB,Undetermined,0,,No Amp,FALSE,3,39,,,4,,,,,
N10,TRUE,NTC,F3R1,Unknown,FAM-NFQ-MGB,Undetermined,0,,No Amp,FALSE,3,44,,,1,NA,0,No,,
N11,TRUE,NTC,F3R1,Unknown,FAM-NFQ-MGB,Undetermined,0,,No Amp,FALSE,3,44,,,1,,,,,
N12,TRUE,NTC,F3R1,Unknown,FAM-NFQ-MGB,Undetermined,0,,No Amp,FALSE,3,44,,,1,,,,,
N10,TRUE,NTC,F3R1,Unknown,FAM-NFQ-MGB,Undetermined,0,1.173611629,No Amp,FALSE,3,44,,,2,NA,0,No,,
N11,TRUE,NTC,F3R1,Unknown,FAM-NFQ-MGB,Undetermined,0,,No Amp,FALSE,3,44,,,2,,,,,
N12,TRUE,NTC,F3R1,Unknown,FAM-NFQ-MGB,Undetermined,0,,No Amp,FALSE,3,44,,,2,,,,,
N10,TRUE,NTC,F3R1,Negative Control,FAM-NFQ-MGB,Undetermined,0,,No Amp,FALSE,3,39,,,3,NA,0,No,,
N11,TRUE,NTC,F3R1,Negative Control,FAM-NFQ-MGB,7.628916791,0.978374956,2.191431977,Inconclusive,FALSE,3,3,,,3,,,,,
N12,TRUE,NTC,F3R1,Negative Control,FAM-NFQ-MGB,Undetermined,0,,No Amp,FALSE,3,39,,,3,,,,,
J1,TRUE,NTC,F3R1,Unknown,FAM-NFQ-MGB,Undetermined,0,1.166132417,No Amp,FALSE,3,39,,,4,NA,0,No,,
J2,TRUE,NTC,F3R1,Unknown,FAM-NFQ-MGB,Undetermined,0,1.35088515,No Amp,FALSE,3,39,,,4,,,,,
J3,TRUE,NTC,F3R1,Unknown,FAM-NFQ-MGB,Undetermined,0,,No Amp,FALSE,3,39,,,4,,,,,
I1,TRUE,NTC,F3R1,Unknown,FAM-NFQ-MGB,Undetermined,0,,No Amp,FALSE,3,44,,,5,NA,0,No,,
I2,TRUE,NTC,F3R1,Unknown,FAM-NFQ-MGB,Undetermined,0,,No Amp,FALSE,3,16,,,5,,,,,
I3,TRUE,NTC,F3R1,Unknown,FAM-NFQ-MGB,Undetermined,0,,No Amp,FALSE,3,44,,,5,,,,,
H16,FALSE,NTC,F3R1,Unknown,FAM,Undetermined,0,,No Amp,FALSE,3,39,,,6,NA,0,No,,
H17,FALSE,NTC,F3R1,Unknown,FAM,Undetermined,0,,No Amp,FALSE,3,39,,,6,,,,,
H18,FALSE,NTC,F3R1,Unknown,FAM,Undetermined,0,,No Amp,FALSE,3,39,,,6,,,,,
N22,TRUE,NTC,F3R3,Unknown,FAM-NFQ-MGB,Undetermined,0,,No Amp,FALSE,3,44,,,1,NA,0,No,,
N23,TRUE,NTC,F3R3,Unknown,FAM-NFQ-MGB,Undetermined,0,1.767564942,No Amp,FALSE,3,44,,,1,,,,,
N24,TRUE,NTC,F3R3,Unknown,FAM-NFQ-MGB,Undetermined,0,,No Amp,FALSE,3,44,,,1,,,,,
N22,TRUE,NTC,F3R3,Unknown,FAM-NFQ-MGB,11.83279803,0.879878656,1.990869851,Inconclusive,FALSE,3,6,,,2,NA,0,No,,
N23,TRUE,NTC,F3R3,Unknown,FAM-NFQ-MGB,Undetermined,0,,No Amp,FALSE,3,44,,,2,,,,,
N24,TRUE,NTC,F3R3,Unknown,FAM-NFQ-MGB,Undetermined,0,,No Amp,FALSE,3,44,,,2,,,,,
N22,TRUE,NTC,F3R3,Negative Control,FAM-NFQ-MGB,Undetermined,0,,No Amp,FALSE,3,12,,,3,NA,0,No,,
N23,TRUE,NTC,F3R3,Negative Control,FAM-NFQ-MGB,Undetermined,0,1.45361643,No Amp,FALSE,3,39,,,3,,,,,
N24,TRUE,NTC,F3R3,Negative Control,FAM-NFQ-MGB,Undetermined,0,1.200417342,No Amp,FALSE,3,39,,,3,,,,,
J13,TRUE,NTC,F3R3,Unknown,FAM-NFQ-MGB,Undetermined,0,,No Amp,FALSE,3,39,,,4,NA,0,No,,
J14,TRUE,NTC,F3R3,Unknown,FAM-NFQ-MGB,Undetermined,0,,No Amp,FALSE,3,39,,,4,,,,,
J15,TRUE,NTC,F3R3,Unknown,FAM-NFQ-MGB,Undetermined,0,,No Amp,FALSE,3,39,,,4,,,,,
G7,FALSE,NTC,F3R3,Unknown,FAM-NFQ-MGB,Undetermined,0,,No Amp,FALSE,3,44,,,5,NA,0,No,,
G8,FALSE,NTC,F3R3,Unknown,FAM-NFQ-MGB,Undetermined,0,,No Amp,FALSE,3,44,,,5,,,,,
G9,FALSE,NTC,F3R3,Unknown,FAM-NFQ-MGB,Undetermined,0,1.403185392,No Amp,FALSE,3,44,,,5,,,,,
P16,FALSE,NTC,F3R3,Unknown,FAM,Undetermined,0,,No Amp,FALSE,3,39,,,6,NA,0,No,,
P17,FALSE,NTC,F3R3,Unknown,FAM,Undetermined,0,1.523018828,No Amp,FALSE,3,39,,,6,,,,,
P18,FALSE,NTC,F3R3,Unknown,FAM,Undetermined,0,,No Amp,FALSE,3,39,,,6,,,,,
